District,Total_Cases,Recoveries,Death,Active
Ahmednagar,70793,68473,1071,1249
Akola,11299,10516,367,416
Amravati,21150,20355,393,402
Aurangabad,48871,47100,1242,529
Beed,17684,16702,547,435
Bhandara,13325,12692,296,337
Buldhana,14411,13523,239,649
Chandrapur,23906,23150,411,345
Dhule,15925,15381,347,197
Gadchiroli,8771,8537,99,135
Gondia,14200,13743,180,277
Hingoli,4331,4131,97,103
Jalgaon,57013,55011,1488,514
Jalna,13131,12593,354,184
Kolhapur,48982,47153,1672,157
Latur,23902,22726,692,484
Mumbai City,303152,284331,12143,6678
Nagpur,132337,124429,3341,4567
Nanded,21963,20891,674,398
Nandurbar,9182,8304,188,690
Nashik,119165,115858,1967,1340
Osmanabad,17291,16439,552,300
Palghar,47614,46136,934,544
Parbhani,7817,7347,303,167
Pune,382460,359137,7906,15417
Raigad,67934,65645,1521,768
Ratnagiri,11386,10730,389,267
Sangli,50620,48349,1780,491
Satara,55631,53092,1805,734
Sindhudurg,6251,5747,169,335
Solapur,55192,52455,1823,914
Thane,264653,249304,5741,9608
Wardha,10272,9661,297,314
Washim,7083,6756,154,173
Yavatmal,14836,13926,420,490
